site_name,address,telephone_number,pupil_gender,number_of_pupils,postcode
Lord Wandsworth College,"Long Sutton, Hook.",01256 862201,MIXED,533,RG291TB
Stanbridge Earls School,"Stanbridge Lane, Romsey.",01794 529400,MIXED,186,SO510ZS
Brockwood Park School,"Bramdean, Alresford.",01962 771744,MIXED,100,SO240LQ
Alton Convent School,"Anstey Lane, Alton.",01420 82070,MIXED,486,GU342NG
Allbrook School,"The Old School, Pitmore Road, Allbrook, Eastleigh.",020 80616316,MIXED,165,SO504LW
Sherfield School,"Sherfield-on-Loddon, Hook.",01256 884800,MIXED,462,RG270HT
Tadley Horizon,"Tadley Common Road, Tadley, Basingstoke.",0118 9817720,MIXED,53,RG263TB
Fairways School,"New Road, Manor Farm Cottage, Swanwick.",01489 579011,MIXED,10,SO317HE
Havant Academy,"Wakefords Way, Havant.",023 92473031,MIXED,-1,PO95JD
Henry Tyndale School,"Ship Lane, Farnborough.",01252 544577,MIXED,122,GU148BX
Prospect School,"Freeley Road, Havant.",023 92485140,BOYS,49,PO94AQ
Grangeside School,"Pack Lane, Basingstoke.",01256 336601,MIXED,-1,RG225TH
Icknield School,"River Way, Andover.",01264 365297,MIXED,72,SP116LT
Rachel Madocks School,"Eagle Avenue, Cowplain, Waterlooville.",023 92241818,MIXED,74,PO89XP
Limington House School,"St Andrews Road, Basingstoke.",01256 322148,MIXED,88,RG226PS
Baycroft School,"Gosport Road, Stubbington, Fareham.",01329 664151,MIXED,182,PO142AE
St Francis Special School,"Patchway Drive, Oldbury Way, Fareham.",01329 845730,MIXED,88,PO143BN
Forest Park School,"Lydlynch Road, Totton, Southampton.",2380864949,MIXED,109,SO403DW
Dove House School,"Sutton Road, Basingstoke.",01256 351555,MIXED,162,RG215SU
Treloar School,"Upper Froyle, Alton.",01420 526400,MIXED,92,GU344LA
Oak Lodge School,"Roman Road, Dibden Purlieu, Southampton.",023 80847213,MIXED,144,SO454RQ
Glenwood School,"Washington Road, Emsworth.",01243 373120,MIXED,96,PO107NN
Samuel Cody Specialist Sports College,"Lynchford Road, Farnborough.",01252 314720,MIXED,112,GU146BJ
The Mark Way School,"Batchelors Barn Road, Andover.",01264 351835,MIXED,75,SP101HR
Lord Wilson School,"Coldeast Way, Sarisbury Green, Southampton.",01489 582684,BOYS,52,SO317AT
Hollywater School,"Mill Chase Road, Bordon.",01420 474396,MIXED,125,GU350HA
